Name,Platform,Release_year,Genre,Publisher,Rating
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,96
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,86
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,86
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,91
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,91
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,85
Pitfall!,2600,1981,Platform,Activision,
Madden NFL 07,PS2,2006,Sports,Electronic Arts,84
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,84
Spider-Man: The Movie,PS2,2002,Action,Activision,76
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,77
God of War,PS2,2005,Action,Sony Computer Entertainment,94
Splatoon,WiiU,2015,Shooter,Nintendo,81
Nintendo Land,WiiU,2012,Misc,Nintendo,77
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,97
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,86
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,94
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,82
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,56
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,86
Sonic the Hedgehog,GEN,1991,Platform,Sega,
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,87
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,
Super Mario 3D World,WiiU,2013,Platform,Nintendo,93
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,
Asteroids,2600,1980,Shooter,Atari,
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,
FIFA 15,PS3,2014,Sports,Electronic Arts,
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,89
Namco Museum,GBA,2001,Misc,Namco Bandai Games,79
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,91
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,91
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,80
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,88
FIFA 14,X360,2013,Sports,Electronic Arts,84
Daxter,PSP,2006,Platform,Sony Computer Entertainment,85
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,80
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,80
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,80
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,80
FIFA 12,X360,2011,Sports,Electronic Arts,
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,
Street Fighter IV,PS3,2009,Fighting,Capcom,94
Excitebike,NES,1984,Racing,Nintendo,
Frogger,PS,1997,Action,Hasbro Interactive,
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,95
Half-Life,PC,1997,Shooter,Vivendi Games,96
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,
FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,91
Battlefield 1,PS4,2016,Shooter,Electronic Arts,88
God of War II,PS2,2007,Action,Sony Computer Entertainment,93
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,84
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,90
Carnival Games,Wii,2007,Misc,Take-Two Interactive,56
Watch Dogs,PS4,2014,Action,Ubisoft,80
Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,85
Far Cry 4,PS4,2014,Shooter,Ubisoft,85
Star Fox 64,N64,1997,Shooter,Nintendo,
Golf,NES,1984,Sports,Nintendo,
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,61
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,89
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,92
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,70
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,87
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,93
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,90
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,84
Donkey Kong Land,GB,1994,Platform,Nintendo,
EA Sports Active,Wii,2009,Sports,Electronic Arts,81
Tony Hawk's Underground,PS2,2003,Sports,Activision,90
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,86
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,94
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,87
Tekken 5,PS2,2005,Fighting,Namco Bandai Games,88
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,84
Nintendogs + cats,3DS,2011,Simulation,Nintendo,
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,91
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,76
Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,78
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,59
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,80
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,68
Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,77
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,79
Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,64
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,
Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,
Super Paper Mario,Wii,2007,Platform,Nintendo,85
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,91
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,88
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,81
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,
Friend Collection,DS,2009,Misc,Nintendo,
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,94
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,
MySims,DS,2007,Simulation,Electronic Arts,67
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,74
Banjo-Kazooie,N64,1998,Platform,Nintendo,
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,82
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,90
Pokemon Snap,N64,1999,Simulation,Nintendo,
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,82
Resident Evil 4,PS2,2005,Action,Capcom,96
Guitar Hero: World Tour,Wii,2008,Misc,Activision,86
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,91
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,82
Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive,
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,64
Luigi's Mansion,GC,2001,Action,Nintendo,78
Battlefield 4,PS4,2013,Shooter,Electronic Arts,85
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,84
Just Dance 2014,Wii,2013,Misc,Ubisoft,
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,70
WWF SmackDown!,PS,2000,Fighting,THQ,
Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive,
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,78
The Getaway,PS2,2002,Action,Sony Computer Entertainment,72
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive,
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,72
LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,
Rugrats in Paris: The Movie,PS,2000,Action,THQ,
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,88
Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,
Left 4 Dead,X360,2008,Shooter,Electronic Arts,89
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,72
Kung Fu,NES,1985,Action,Nintendo,
Resident Evil 5,X360,2009,Action,Capcom,83
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,89
FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts,84
Battlefield 4,PS3,2013,Shooter,Electronic Arts,80
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,92
Battlefield 4,X360,2013,Shooter,Electronic Arts,79
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,88
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,
Guitar Hero: On Tour,DS,2008,Misc,Activision,71
Clubhouse Games,DS,2006,Misc,Nintendo,83
Monster Hunter 4,3DS,2013,Role-Playing,Capcom,
Borderlands,X360,2009,Shooter,Take-Two Interactive,84
Tekken 4,PS2,2002,Fighting,Namco Bandai Games,79
Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,70
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,93
Spider-Man 2,PS2,2004,Action,Activision,80
F-1 Race,GB,1990,Racing,Nintendo,
FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,88
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,91
Crash Bash,PS,2000,Misc,Sony Computer Entertainment,68
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,76
LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,76
Destiny,XOne,2014,Shooter,Activision,75
WWF War Zone,PS,1998,Fighting,Acclaim Entertainment,
The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,
Far Cry 3,PS3,2012,Shooter,Ubisoft,90
Rugrats: Search For Reptar,PS,1998,Adventure,THQ,
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,
James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,77
Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,
Monster Hunter X,3DS,2015,Action,Capcom,
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,60
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,87
Max Payne,PS2,2001,Shooter,Take-Two Interactive,80
